stage,family,label,run_name,source_dir,note,val_rmse,val_mae,val_r2,routine_test_rmse,routine_test_mae,routine_test_r2,ood_test_rmse,ood_test_mae,ood_test_r2,smoothness,roll_consistency_rmse,first_step_jump_rmse,max_abs_second_diff_p95
result_1,baseline,LSTM,lstm_seq128_pred10,/gemini/code/thesis-work/results/result_1/outputs/lstm_seq128_pred10,,0.0360213865013,0.0169050639638,0.999768695006,0.0367836663211,0.0164433714489,0.999766360645,0.206997713236,0.0973722041292,0.996411779283,,,,
result_1,baseline,GRU,gru_seq128_pred10,/gemini/code/thesis-work/results/result_1/outputs/gru_seq128_pred10,,0.0324046500185,0.015259971136,0.999812811644,0.032244405137,0.0148771845991,0.999820466826,0.188520841637,0.0889011366658,0.997023767918,,,,
result_1,baseline,Transformer,transformer_seq128_pred10,/gemini/code/thesis-work/results/result_1/outputs/transformer_seq128_pred10,,0.0298429366642,0.0143297079478,0.99984123774,0.030850899385,0.0145332412116,0.999835649273,0.185286667868,0.0887092171928,0.997125009617,,,,
result_1,baseline,Lite-xLSTM,lite_xlstm_seq128_pred10,/gemini/code/thesis-work/results/result_1/outputs/lite_xlstm_seq128_pred10,,0.0313971644302,0.014760986757,0.999824270362,0.0309943304035,0.0139291455429,0.999834117532,0.203532738768,0.0947156265239,0.996530901692,,,,
result_1,baseline,CCG-xLSTM Baseline,ccg_xlstm_seq128_pred10,/gemini/code/thesis-work/results/result_1/outputs/ccg_xlstm_seq128_pred10,实验一中的最佳主干,0.0302988601286,0.0144320848323,0.999836349725,0.0309642476836,0.0141893559511,0.999834439383,0.182219022307,0.0863541164377,0.997219419465,,,,
result_1,vmd,VMD-CCG-xLSTM (early),vmd_ccg_xlstm_seq128_pred10,/gemini/code/thesis-work/results/result_1/outputs/vmd_ccg_xlstm_seq128_pred10,早期 VMD 原型，结果劣于 baseline,0.047380978979,0.0231613590754,0.999599804483,0.0481706561868,0.0231105791035,0.999599316835,0.234516471603,0.108001268484,0.995394309431,,,,
result_1,joint,VMD-CCG-Phys-xLSTM (early),vmd_ccg_phys_xlstm_seq128_pred10,/gemini/code/thesis-work/results/result_1/outputs/vmd_ccg_phys_xlstm_seq128_pred10,早期 VMD+Phys 原型，结果劣于 baseline,0.0460013274524,0.0227523195535,0.99962277116,0.0467267062128,0.0227206009751,0.999622978334,0.23550511407,0.108479208501,0.995355395498,0.00197091337211,0.00483421005733,,
result_2_followup,baseline,Persistence,persistence_seq128_pred10,/gemini/code/thesis-work/results/result_2_followup/results/result_2_followup/outputs/persistence_seq128_pred10,,0.0544940707993,0.0182970458769,0.999470625932,0.053197713538,0.0176638227564,0.999511322995,0.256498884197,0.12415297112,0.994490413392,,,,
result_2_followup,vmd,VMD-CCG-xLSTM Follow-up,vmd_ccg_xlstm_seq128_pred10,/gemini/code/thesis-work/results/result_2_followup/results/result_2_followup/outputs/vmd_ccg_xlstm_seq128_pred10,VMD 缓存流程打通后的补跑结果,0.040403148238,0.0170687911752,0.999708998938,0.0401853869144,0.0165107521934,0.999721148953,0.195872376162,0.093900476245,0.996787120499,,,,
result_2_followup,joint,VMD-CCG-Phys-xLSTM Follow-up,vmd_ccg_phys_xlstm_seq128_pred10,/gemini/code/thesis-work/results/result_2_followup/results/result_2_followup/outputs/vmd_ccg_phys_xlstm_seq128_pred10,与 result_1 相比，VMD 流程更稳定但仍非最终结论,0.0404011993221,0.0170770562453,0.999709027012,0.0402161189616,0.0165327115831,0.999720722284,0.195850628876,0.0938878715056,0.996787833897,9.74098676625e-06,0.00227037955003,,
